,Symbol,Name
628,HEIDELBERG,HeidelbergCement India Limited
629,TCIEXP,TCI Express Limited
630,VSTIND,VST Industries Limited
631,GREENPANEL,Greenpanel Industries Limited
632,DODLA,Dodla Dairy Limited
633,AHLUCONT,Ahluwalia Contracts (India) Limited
634,RAIN,Rain Industries Limited
635,GATEWAY,Gateway Distriparks Limited
636,ORIENTCEM,Orient Cement Limited
637,ETHOSLTD,Ethos Limited
638,HCG,Healthcare Global Enterprises Limited
639,FEDFINA,Fedbank Financial Services Limited
640,GOKEX,Gokaldas Exports Limited
641,PRUDENT,Prudent Corporate Advisory Services Limited
642,ITDCEM,ITD Cementation India Limited
643,BBOX,Black Box Limited
644,JPASSOCIAT,Jaiprakash Associates Limited
645,RALLIS,Rallis India Limited
